dataset,method,sequence,frames,evaluated_frames,absent_frames,success_auc,average_overlap,sr_0.50,sr_0.75,precision_10px,precision_20px,normalized_precision_auc,mean_iou,mean_center_error_px,median_center_error_px,rmse_center_error_px,iou_lt_0.1
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_1,389,389,0,0.7519892275676336,0.7648706167774492,0.8946015424164524,0.6786632390745502,0.8560411311053985,0.9562982005141388,0.7934875749785775,0.7648706167774492,10.106550421793042,2.564665371071638,41.34775149928353,0.02313624678663239
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_2,137,137,0,0.7198470629127564,0.7328601960402241,0.8686131386861314,0.6277372262773723,0.7664233576642335,0.8832116788321168,0.7468155145269789,0.7328601960402241,7.444810935352503,4.348928921127503,11.070243440576883,0.0
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_3,742,742,0,0.772108843537415,0.7853205414851578,0.9272237196765498,0.7183288409703504,0.8207547169811321,0.931266846361186,0.7945668833571166,0.7853205414851578,6.056444006925193,2.6612651671958996,10.06184150168879,0.005390835579514825
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_4,287,287,0,0.05276256844201095,0.00666874962977633,0.003484320557491289,0.003484320557491289,0.003484320557491289,0.003484320557491289,0.004645760743321719,0.00666874962977633,688.2044744344373,586.5956783758697,813.8140306842636,0.9860627177700348
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_5,309,309,0,0.7415626444752658,0.7535806082966845,0.8964401294498382,0.6601941747572816,0.7896440129449838,0.8996763754045307,0.7673075702773018,0.7535806082966845,7.941487893474946,2.728309850693258,16.577613695494858,0.009708737864077669
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_6,184,184,0,0.812888198757764,0.8278473597120444,1.0,0.8097826086956522,0.8804347826086957,0.9456521739130435,0.8513427109974425,0.8278473597120444,5.919418006208708,2.7842857833501116,11.89740140194662,0.0
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_7,138,138,0,0.3975155279503105,0.37833679496685874,0.4420289855072464,0.3333333333333333,0.463768115942029,0.5,0.3763853367433931,0.37833679496685874,198.77509099578717,20.186170989080715,312.5042918390406,0.4855072463768116
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_8,123,123,0,0.8552071234998065,0.8700201847535795,0.975609756097561,0.9024390243902439,0.7642276422764228,0.9186991869918699,0.8823529411764706,0.8700201847535795,7.658674486939133,5.62965304767199,11.117584618792224,0.0
UAV2UAV,SafeCL-IMMTrack,test10_jl_hbd_9,341,341,0,0.8567239212400501,0.8739766784590675,1.0,0.967741935483871,0.841642228739003,0.9736070381231672,0.9026507963889367,0.8739766784590675,6.198165985304329,4.4517875034981005,8.754642085385587,0.0
UAV2UAV,SafeCL-IMMTrack,test11_dj_1,260,260,0,0.7597069597069598,0.773316003480554,0.9769230769230769,0.676923076923077,0.8653846153846154,0.9461538461538461,0.9070135746606335,0.773316003480554,5.556209082776999,2.886381221384865,10.934301663291317,0.0
UAV2UAV,SafeCL-IMMTrack,test11_dj_2,625,625,0,0.7959619047619048,0.8097453208704019,0.9952,0.8864,0.8144,0.9584,0.9349019607843138,0.8097453208704019,7.032426000843641,5.5063407074200015,9.669954807717593,0.0
